Rank ,City ,State ,Land area,km2,Water area,km2.1,Total area,km2.2,Population
83,Fernley,Nevada,121.3,314,6.7,17.0,128.0,332.0,22895
84,Marana,Arizona,121.1,314,0.7,1.8,121.8,315.0,51908
85,Yuma,Arizona,120.7,313,0.1,0.26,120.7,313.0,95548
86,Little Rock,Arkansas,120.0,311,3.0,7.8,123.0,319.0,202591
87,Port St. Lucie,Florida,119.2,309,1.6,4.1,120.8,313.0,204851
88,Athens,Georgia,116.3,301,1.8,4.7,118.1,306.0,127315
89,Fresno,California,115.2,298,1.2,3.1,116.4,301.0,542107
90,Charleston,South Carolina,114.8,297,20.4,53.0,135.1,350.0,150227
91,Hartsville,Tennessee,114.3,296,2.3,6.0,116.6,302.0,11615
92,Tampa,Florida,114.0,295,61.8,160.0,175.8,455.0,384959
93,Eloy,Arizona,113.6,294,0.1,0.26,113.6,294.0,15635
94,Durham,North Carolina,112.8,292,0.8,2.1,113.6,294.0,283506
95,Jackson,Mississippi,111.7,289,2.1,5.4,113.9,295.0,153701
96,Casa Grande,Arizona,110.9,287,0.0,0.0,110.9,287.0,53658
97,Fort Wayne,Indiana,110.7,287,0.2,0.52,111.0,287.0,263886
98,Orlando,Florida,110.6,286,8.3,21.0,118.9,308.0,307573
99,Salt Lake City,Utah,110.3,286,0.5,1.3,110.8,287.0,199723
100,Surprise,Arizona,110.3,286,0.2,0.52,110.5,286.0,143148
101,Reno,Nevada,108.8,282,2.8,7.3,111.6,289.0,264165
102,Shreveport,Louisiana,107.8,279,15.5,40.0,123.3,319.0,187593
103,Savannah,Georgia,106.8,277,4.8,12.0,111.6,289.0,147780
104,Abilene,Texas,106.7,276,5.4,14.0,112.1,290.0,125182
105,Laredo,Texas,106.5,276,1.5,3.9,108.0,280.0,255205
106,Henderson,Nevada,106.2,275,0.5,1.3,106.7,276.0,317610
107,Palmdale,California,106.1,275,0.2,0.52,106.3,275.0,169450
108,Cape Coral,Florida,106.0,275,13.4,35.0,119.4,309.0,194016
109,Babbitt,Minnesota,106.0,275,0.8,2.1,106.8,277.0,1397
110,Rio Rancho,New Mexico,103.4,268,0.3,0.78,103.6,268.0,104046
111,Amarillo,Texas,102.3,265,1.6,4.1,103.9,269.0,200393
112,Unalaska,Alaska,102.2,265,108.7,282.0,210.9,546.0,4254
113,North Las Vegas,Nevada,101.3,262,0.0,0.0,101.3,262.0,262527
114,Tallahassee,Florida,100.9,261,2.8,7.3,103.8,269.0,196169
115,Clarksville,Tennessee,99.4,257,0.7,1.8,100.1,259.0,166722
116,North Port,Florida,99.4,257,4.8,12.0,104.2,270.0,74793
117,St. Marys,Pennsylvania,99.3,257,0.2,0.52,99.5,258.0,12738
118,Nightmute,Alaska,99.0,256,5.4,14.0,104.4,270.0,306
119,Knoxville,Tennessee,98.7,256,5.5,14.0,104.3,270.0,190740
120,Sacramento,California,98.6,255,2.1,5.4,100.7,261.0,524943
121,Lincoln,Nebraska,97.7,253,1.4,3.6,99.0,256.0,291082
122,Denton,Texas,96.4,250,1.5,3.9,97.9,254.0,139869
123,Milwaukee,Wisconsin,96.2,249,0.6,1.6,96.8,251.0,577222
124,Arlington,Texas,95.9,248,3.6,9.3,99.5,258.0,394266
125,Palm Coast,Florida,95.4,247,1.2,3.1,96.6,250.0,89258
126,Palm Springs,California,94.5,245,0.1,0.26,94.7,245.0,44575
127,Lancaster,California,94.3,244,0.3,0.78,94.5,245.0,173516
128,Dothan,Alabama,89.8,233,0.3,0.78,90.2,234.0,71072
129,Waco,Texas,88.7,230,12.4,32.0,101.2,262.0,138486
130,Des Moines,Iowa,88.2,228,2.5,6.5,90.6,235.0,214133
131,Palm Bay,Florida,86.4,224,3.2,8.3,89.6,232.0,119760
132,Baton Rouge,Louisiana,86.3,224,2.2,5.7,88.5,229.0,227470
133,Oak Ridge,Tennessee,85.2,221,4.7,12.0,90.0,233.0,31402
